location,total_sqft,bath,balcony,price,bhk,per_squre_price
Munivenkatppa Layout,1550.0,2.0,3.0,160.0,2,10322.58064516129
Defence Colony,2800.0,4.0,3.0,365.0,4,13035.714285714286
Kalyan nagar,1190.0,2.0,1.0,60.0,2,5042.016806722689
Ardendale,1224.0,2.0,2.0,70.0,2,5718.954248366013
Mysore Road,45.0,1.0,0.0,23.0,1,51111.11111111111
Kanakapura,2130.0,4.0,0.0,120.0,4,5633.802816901409
Akshaya Nagar,1360.0,2.0,2.0,85.0,3,6250.0
LB Shastri Nagar,2400.0,8.0,1.0,250.0,8,10416.666666666666
Sarjapur  Road,2275.0,4.0,2.0,182.0,3,8000.0
Udayapur Village,1630.0,3.0,2.0,68.29,3,4189.57055214724
Adityanagar,1260.0,1.0,1.0,41.0,1,3253.968253968254
Whitefield,1160.0,2.0,2.0,39.0,2,3362.0689655172414
Gkvk Layout,1350.0,3.0,3.0,195.0,3,14444.444444444443
Hebbal,1500.0,3.0,1.0,150.0,3,10000.0
TC Palaya,1200.0,2.0,0.0,70.0,2,5833.333333333333
Jalahalli,1395.0,3.0,3.0,82.0,3,5878.136200716845
manyata tech park,1150.0,2.0,1.0,56.0,2,4869.565217391304
Whitefield,3250.0,5.0,0.0,290.0,5,8923.076923076924
Prithvi Layout,4040.0,4.0,0.0,500.0,4,12376.237623762376
Doopanahalli,1050.0,2.0,1.0,70.0,2,6666.666666666667
Thanisandra,1460.0,2.0,2.0,38.5,2,2636.986301369863
Brookefield,1225.0,2.0,2.0,66.5,2,5428.571428571428
Cholanayakanahalli,1370.0,2.0,2.0,75.0,3,5474.4525547445255
JP Nagar,1590.0,2.0,3.0,85.0,3,5345.911949685535
Whitefield,4800.0,4.0,3.0,525.0,4,10937.5
ITI Layout,1450.0,2.0,2.0,90.0,2,6206.896551724138
Jakkur,1785.0,3.0,2.0,130.0,3,7282.913165266106
Yelahanka,1590.0,2.0,2.0,54.0,3,3396.22641509434
7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3,8108.108108108108
Chikkasandra,600.0,1.0,1.0,52.0,2,8666.666666666666
Cholanayakanahalli,580.0,2.0,0.0,95.0,2,16379.310344827589
Kundalahalli,1600.0,3.0,2.0,170.0,3,10625.0
KPC Layout,1210.0,2.0,2.0,62.0,2,5123.966942148761
Jalahalli,1615.0,3.0,2.0,89.75,3,5557.275541795666
Sarjapur  Road,1205.0,2.0,2.0,37.0,2,3070.539419087137
Yelahanka,1650.0,3.0,3.0,105.0,3,6363.636363636364
Yeshwanthpur,1385.0,2.0,2.0,76.18,3,5500.3610108303255
Varsova Layout,1088.0,2.0,2.0,43.5,2,3998.1617647058815
Rayasandra,1198.0,2.0,1.0,54.0,2,4507.512520868114
Marathahalli,1485.0,2.0,2.0,90.0,3,6060.606060606061
Belathur,460.0,1.0,0.0,15.0,2,3260.8695652173915
Sarjapur,4360.0,4.0,1.0,90.0,5,2064.2201834862385
Old Madras Road,4000.0,4.0,2.0,225.0,4,5625.0
Magadi Road,1200.0,4.0,1.0,130.0,5,10833.333333333334
Ganga Nagar,1410.0,3.0,2.0,65.0,3,4609.929078014185
cooketown,1800.0,3.0,3.0,192.0,3,10666.666666666666
Old Madras Road,1225.0,2.0,1.0,53.55,2,4371.428571428572
Kudlu Gate,1464.0,3.0,3.0,56.0,2,3825.136612021858
Langford Town,2031.0,2.0,2.0,200.0,2,9847.365829640572
Banaswadi,1145.0,2.0,2.0,55.0,2,4803.493449781659
Sanjay nagar,1575.0,2.0,2.0,90.0,2,5714.285714285715
Hormavu,1123.0,2.0,1.0,56.0,2,4986.642920747997
Kattigenahalli,1200.0,1.0,0.0,70.0,2,5833.333333333333
Electronic City Phase II,1031.0,2.0,1.0,54.48,2,5284.190106692531
Gunjur Palya,1235.0,2.0,2.0,52.76,2,4272.064777327935
Chikka Tirupathi,2325.0,4.0,1.0,120.0,4,5161.290322580645
Thanisandra,1694.0,3.0,1.0,125.0,3,7378.984651711924
Kundalahalli,1120.0,2.0,1.0,53.76,2,4800.0
Electronic City,1100.0,2.0,1.0,40.0,2,3636.363636363637
Jigani,2420.0,4.0,1.0,190.0,4,7851.239669421488
Manayata Tech Park,1050.0,2.0,2.0,45.0,2,4285.714285714285
Bellandur,2025.0,4.0,3.0,109.0,4,5382.716049382716
CV Raman Nagar,1392.0,2.0,1.0,95.0,2,6824.712643678161
Kalena Agrahara,610.0,1.0,1.0,39.0,1,6393.44262295082
Malleshwaram,1410.0,2.0,3.0,125.0,2,8865.248226950354
Electronics City Phase 1,1070.0,2.0,1.0,45.5,2,4252.336448598131
Hormavu,1081.5,2.0,0.0,38.665,2,3575.127138233934
Kadugodi,1314.0,2.0,3.0,80.0,2,6088.2800608828
Indira Nagar,2400.0,6.0,2.0,475.0,6,19791.666666666668
Hennur Road,1975.0,3.0,3.0,123.0,3,6227.848101265823
Varthur,1402.0,2.0,2.0,95.0,2,6776.034236804565
Kodigehaali,2120.0,3.0,2.0,177.0,3,8349.056603773584
Rajaji Nagar,2440.0,2.0,0.0,415.0,4,17008.196721311477
Balagere,1205.0,2.0,1.0,63.86,2,5299.585062240664
Dommasandra,850.0,2.0,1.0,25.4,2,2988.235294117647
Subramanyapura,1223.0,2.0,2.0,42.81,3,3500.408830744072
Dollar Scheme Colony,3463.0,6.0,0.0,310.0,4,8951.775916835115
Hebbal,1255.0,2.0,1.0,90.0,3,7171.314741035857
Kadugondanahalli,800.0,1.0,0.0,45.0,2,5625.0
Bannerghatta Road,1012.0,2.0,1.0,45.0,2,4446.640316205534
B Channasandra,1080.0,2.0,1.0,45.0,2,4166.666666666667
SMV layout,600.0,3.0,3.0,86.0,3,14333.333333333334
Parappana Agrahara,1194.0,2.0,2.0,47.0,2,3936.348408710218
Kambipura,883.0,2.0,1.0,29.0,2,3284.2582106455266
Vasanth nagar,2000.0,3.0,2.0,1063.0,4,53150.0
Hennur,1295.0,2.0,1.0,64.0,2,4942.084942084942
Shampura,1200.0,2.0,3.0,53.0,2,4416.666666666667
Sarjapur  Road,1300.0,2.0,2.0,70.0,3,5384.615384615385
Sarjapur,1044.0,2.0,2.0,34.0,2,3256.704980842912
Hebbal,1355.0,3.0,1.0,83.87,3,6189.667896678967
Hebbal,1200.0,2.0,2.0,52.0,2,4333.333333333333
Kalena Agrahara,800.0,2.0,2.0,30.0,2,3750.0
Vasanth nagar,4750.0,6.0,1.0,948.0,4,19957.894736842107
Nagasandra,4050.0,5.0,2.0,140.0,5,3456.7901234567903
Horamavu Agara,1300.0,2.0,2.0,52.0,3,4000.0
Margondanahalli,2400.0,2.0,1.0,82.0,2,3416.6666666666665
Kudlu,720.0,1.0,1.0,33.0,1,4583.333333333333
Nagarbhavi,800.0,3.0,0.0,95.0,3,11875.0
Singanayakanahalli,1480.0,2.0,0.0,75.0,3,5067.567567567568
9th Phase JP Nagar,600.0,6.0,2.0,75.0,6,12500.0
Shivaji Nagar,500.0,1.0,1.0,20.0,2,4000.0
Tumkur Road,1098.0,2.0,1.0,72.0,2,6557.377049180328
Sarjapur  Road,1346.0,2.0,1.0,61.92,2,4600.297176820208
Bannerghatta Road,2400.0,4.0,1.0,180.0,4,7500.0
Jalahalli,1932.0,4.0,3.0,135.0,3,6987.577639751553
Nagarbhavi,1523.0,2.0,2.0,53.4,3,3506.2376887721603
Medahalli,800.0,5.0,1.0,95.0,5,11875.0
Bannerghatta Road,1380.0,3.0,0.0,58.0,4,4202.898550724638
Kanakpura Road,1100.0,2.0,1.0,58.0,3,5272.727272727273
Gunjur,1071.0,2.0,1.0,51.0,2,4761.9047619047615
Yelenahalli,1159.0,2.0,1.0,60.0,2,5176.876617773944
Kengeri,1025.0,2.0,2.0,57.0,2,5560.975609756098
Virat Nagar,1205.0,2.0,2.0,42.18,2,3500.414937759336
Sarjapur  Road,1525.0,2.0,2.0,87.0,3,5704.918032786885
Bannerghatta Road,1220.0,2.0,1.0,80.0,2,6557.377049180328
Haralur Road,1027.0,1.0,2.0,44.0,2,4284.323271665044
Hiremath Layout,1715.0,3.0,2.0,95.0,3,5539.35860058309
Bellandur,982.0,2.0,2.0,55.0,2,5600.814663951121
Hongasandra,600.0,7.0,3.0,89.0,7,14833.333333333334
Yelahanka,1325.0,2.0,2.0,58.0,3,4377.358490566037
Rachenahalli,1204.0,2.0,3.0,38.5,2,3197.6744186046512
Attibele,460.0,1.0,1.0,13.0,1,2826.086956521739
Yelahanka,1405.0,2.0,0.0,50.58,2,3600.0
2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5,20000.0
Hormavu,1180.0,2.0,2.0,50.0,2,4237.28813559322
Austin Town,1250.0,2.0,1.0,60.0,2,4800.0
8th Phase JP Nagar,1200.0,4.0,1.0,140.0,4,11666.666666666666
Kanakpura Road,1450.0,3.0,3.0,53.6,3,3696.551724137931
Banashankari,2400.0,3.0,2.0,370.0,4,15416.666666666666
Kumaraswami Layout,3100.0,7.0,3.0,145.0,7,4677.419354838709
Basavanna Nagar,1645.0,3.0,2.0,87.5,3,5319.148936170212
EPIP Zone,1499.0,5.0,2.0,102.0,3,6804.536357571715
Bannerghatta Road,1693.0,3.0,2.0,89.0,3,5256.940342587123
Whitefield,1431.0,3.0,2.0,85.0,3,5939.902166317261
Mahadevpura,1212.0,2.0,1.0,56.9,2,4694.7194719471945
Raja Rajeshwari Nagar,1200.0,2.0,1.0,35.0,2,2916.6666666666665
KR Puram,1827.0,3.0,2.0,97.0,3,5309.250136836344
Coconut Grove Layout,1007.0,2.0,2.0,43.0,2,4270.109235352532
Gollarapalya Hosahalli,996.0,2.0,2.0,49.0,2,4919.678714859438
Yeshwanthpur,668.0,1.0,1.0,36.85,1,5516.467065868264
Sector 2 HSR Layout,1450.0,2.0,2.0,135.0,3,9310.344827586208
Channasandra,1093.0,2.0,1.0,34.0,2,3110.704483074108
Chandapura,650.0,1.0,1.0,17.0,2,2615.3846153846152
Sarjapur  Road,2180.0,3.0,2.0,170.0,3,7798.165137614679
Hormavu,765.0,2.0,1.0,37.49,2,4900.653594771242
Somasundara Palya,1275.0,2.0,2.0,52.0,3,4078.43137254902
Chikkabanavar,4000.0,7.0,0.0,110.0,8,2750.0
Kadugodi,1645.0,2.0,2.0,82.0,3,4984.802431610942
Hegde Nagar,1341.0,2.0,1.0,97.0,2,7233.407904548844
Kasturi Nagar,1570.0,3.0,3.0,80.0,3,5095.541401273886
Rajaji Nagar,1640.0,3.0,3.0,245.0,3,14939.024390243903
Yeshwanthpur,670.0,1.0,1.0,36.85,1,5500.0
Akshaya Nagar,1113.0,2.0,1.0,52.0,2,4672.057502246182
Banashankari Stage VI,4800.0,4.0,3.0,190.0,4,3958.3333333333335
Chokkasandra,850.0,2.0,1.0,33.0,2,3882.352941176471
Rajaji Nagar,3436.0,6.0,3.0,500.0,4,14551.804423748545
Raja Rajeshwari Nagar,1200.0,4.0,1.0,160.0,4,13333.333333333334
Sarjapur  Road,1881.0,3.0,2.0,145.0,3,7708.665603402445
Haralur Road,1000.0,2.0,2.0,44.0,2,4400.0
Abbaiah Reddy Layout,1310.0,2.0,3.0,50.0,3,3816.793893129771
Whitefield,1615.0,3.0,0.0,96.9,3,6000.0
Jakkur,1374.0,3.0,2.0,68.0,3,4949.0538573508
Narayanapura,2357.0,3.0,2.0,135.0,3,5727.619855748833
Nagadevanahalli,600.0,4.0,2.0,110.0,3,18333.33333333333
Thanisandra,1965.0,4.0,2.0,125.0,3,6361.323155216285
Venkatadri Layout,600.0,1.0,1.0,43.0,1,7166.666666666667
Kanakpura Road,1100.0,3.0,2.0,53.0,3,4818.181818181818
Kaggalipura,950.0,2.0,1.0,39.0,2,4105.263157894737
Gollahalli,1395.0,2.0,1.0,63.59,2,4558.4229390681
HSR Layout,1400.0,3.0,2.0,56.0,3,4000.0
Hebbal,1586.0,3.0,2.0,90.0,3,5674.653215636822
Sampige Layout,1315.0,2.0,2.0,90.0,2,6844.106463878327
Ramamurthy Nagar,1125.0,2.0,1.0,47.0,2,4177.777777777777
Vittasandra,1259.0,2.0,1.0,67.4,2,5353.455123113583
Whitefield,1545.0,3.0,2.0,79.0,3,5113.26860841424
Amruthahalli,4400.0,3.0,2.0,475.0,2,10795.454545454546
Subramanyapura,1255.0,2.0,2.0,79.0,3,6294.820717131474
Samethanahalli,1141.0,2.0,2.0,40.0,2,3505.6967572305
Uttarahalli,1475.0,2.0,3.0,59.0,3,4000.0
Vidyaranyapura,1440.0,2.0,0.0,95.0,2,6597.222222222223
Hebbal,1645.0,3.0,2.0,121.0,3,7355.623100303951
Sarjapura - Attibele Road,1676.0,3.0,3.0,52.0,3,3102.625298329356
Kalyan nagar,1086.0,2.0,2.0,44.5,2,4097.605893186003
Sonnenahalli,1415.0,2.0,1.0,65.0,3,4593.639575971732
Judicial Layout,1165.0,2.0,1.0,49.61,2,4258.369098712446
Chandapura,1208.0,3.0,1.0,45.0,3,3725.1655629139073
Hosa Road,1170.0,2.0,2.0,65.0,2,5555.555555555556
OMBR Layout,1078.0,2.0,3.0,65.0,2,6029.684601113173
Kanakpura Road,1700.0,3.0,3.0,88.0,3,5176.470588235294
Whitefield,1175.0,2.0,1.0,39.0,2,3319.148936170213
Suraksha Nagar,1559.0,3.0,2.0,62.0,3,3976.9082745349583
Chamrajpet,1900.0,2.0,1.0,170.0,4,8947.368421052632
Kanakpura Road,700.0,2.0,2.0,36.0,2,5142.857142857143
Basapura,1294.0,2.0,2.0,52.0,3,4018.5471406491497
Kudlu,1027.0,2.0,2.0,43.0,2,4186.952288218111
Gunjur Palya,674.0,1.0,1.0,19.9,2,2952.522255192878
Electronic City,1070.0,2.0,1.0,56.1,2,5242.990654205608
Sarjapur  Road,1112.0,2.0,1.0,58.0,2,5215.827338129497
Thanisandra,1260.0,2.0,1.0,45.5,2,3611.1111111111113
Kodigehaali,1200.0,2.0,2.0,60.0,2,5000.0
Nagarbhavi,1020.0,2.0,2.0,55.0,2,5392.156862745098
Sonam Layout,905.0,2.0,1.0,50.0,2,5524.861878453039
Kasavanhalli,1377.0,2.0,2.0,80.0,2,5809.731299927378
Shivaji Nagar,2200.0,2.0,0.0,110.0,2,5000.0
Hosur Road,1689.0,3.0,1.0,103.0,3,6098.283007696862
Bellandur,1350.0,2.0,1.0,79.0,2,5851.851851851852
Rustam Bagh Layout,1170.0,2.0,2.0,86.0,2,7350.427350427351
Hosur Road,1590.0,2.0,2.0,135.0,3,8490.566037735849
Electronics City Phase 1,940.0,2.0,1.0,40.0,2,4255.31914893617
Kaggadasapura,1485.0,2.0,2.0,70.0,3,4713.804713804714
Whitefield,1224.0,2.0,2.0,75.0,2,6127.450980392156
Hoodi,1660.0,3.0,2.0,131.0,3,7891.566265060241
Hennur Road,2651.0,2.0,2.0,225.0,3,8487.36325914749
Yelachenahalli,1080.0,2.0,2.0,55.0,2,5092.592592592592
Vinayaka Nagar,1340.0,2.0,1.0,65.0,2,4850.746268656716
2nd Phase JP Nagar,1200.0,3.0,1.0,190.0,3,15833.333333333334
Kasavanhalli,1600.0,3.0,3.0,79.0,3,4937.5
Herohalli,1800.0,1.0,1.0,80.0,2,4444.444444444444
Harlur,3425.0,3.0,1.0,320.0,3,9343.065693430655
Kaggadasapura,1325.0,2.0,2.0,50.0,2,3773.5849056603774
Yelahanka,1800.0,4.0,2.0,180.0,4,10000.0
Kereguddadahalli,1280.0,3.0,1.0,42.0,3,3281.25
Whitefield,1200.0,3.0,1.0,67.77,3,5647.5
Basaveshwara Nagar,1200.0,2.0,1.0,70.0,2,5833.333333333333
Telecom Layout,1450.0,2.0,1.0,65.0,3,4482.758620689655
Jakkur,1424.0,2.0,3.0,80.0,2,5617.977528089888
TC Palaya,1500.0,3.0,0.0,83.0,3,5533.333333333333
Yelahanka,1101.0,2.0,2.0,37.0,2,3360.581289736603
Hennur Road,1020.0,2.0,0.0,45.0,2,4411.764705882353
Sarjapur  Road,1273.0,2.0,2.0,60.0,2,4713.275726630008
Green Glen Layout,1250.0,2.0,0.0,75.0,2,6000.0
Kumaraswami Layout,1270.0,4.0,1.0,128.0,5,10078.740157480315
Kalena Agrahara,1200.0,2.0,2.0,50.0,2,4166.666666666667
8th Phase JP Nagar,1200.0,6.0,1.0,260.0,6,21666.666666666668
Electronic City,919.0,2.0,2.0,34.0,2,3699.673558215452
JP Nagar,3200.0,5.0,3.0,309.0,4,9656.25
Subramanyapura,1278.0,2.0,2.0,59.0,3,4616.588419405321
Vibhutipura Extension,1225.0,2.0,2.0,47.0,2,3836.734693877551
Kengeri,750.0,2.0,2.0,22.0,2,2933.333333333333
Marathahalli,1220.0,2.0,1.0,58.5,2,4795.081967213115
Attibele,656.0,2.0,1.0,25.0,2,3810.9756097560976
8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3,5681.818181818182
Kanakpura Road,1339.0,2.0,2.0,58.0,2,4331.59073935773
Bannerghatta Road,1880.0,3.0,2.0,96.5,3,5132.978723404255
Hennur Road,1685.0,3.0,2.0,95.0,3,5637.982195845697
B Channasandra,1650.0,5.0,1.0,450.0,5,27272.727272727272
Panathur,1370.0,2.0,2.0,54.8,3,4000.0
Haralur Road,1810.0,3.0,2.0,100.0,3,5524.861878453039
Yelahanka,1705.0,3.0,2.0,95.0,3,5571.847507331378
Varthur,1250.0,2.0,2.0,47.0,2,3760.0
